"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","postgres","public","company","company_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","company_type","company_type_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","configuration","configuration_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","configuration_features","configuration_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","configuration_features","output_id",2,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","configuration_features","color_id",3,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","configuration_features","size_id",4,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","cycle","cycle_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","cycle_result","cycle_id",2,"integer",NULL,"FOREIGN KEY","public","cycle","cycle_id"
"postgresql","postgres","public","cycle_result","cycle_result_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","cycle_result_detail","cycle_result_detail_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","filter","filter_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","background_filter","filter_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","fruit","filter_id",2,"integer",NULL,"FOREIGN KEY","public","background_filter","filter_id"
"postgresql","postgres","public","fruit","fruit_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","fruit_color","fruit_id",2,"integer",NULL,"FOREIGN KEY","public","fruit","fruit_id"
"postgresql","postgres","public","fruit_color","color_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","fruit_color_parameter","color_id",2,"integer",NULL,"FOREIGN KEY","public","fruit_color","color_id"
"postgresql","postgres","public","fruit_color_parameter","parameter_id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","postgres","public","fruit_variety","fruit_id",2,"integer",NULL,"FOREIGN KEY","public","fruit","fruit_id"
